"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",86,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","07","Chiapas","001","Acacoyagua",63,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",116,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",297,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",20,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","07","Chiapas","001","Acacoyagua",28,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","15","México","001","Acambay de Ruíz Castañeda",477,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","06","Colima","001","Armería",4,0.0,0.0,18.9371,-103.965,56.4059,"Bajo",0.883238
"Frijol","07","Chiapas","001","Acacoyagua",58,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",15,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",40,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",642,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","07","Chiapas","001","Acacoyagua",1515,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","20","Oaxaca","001","Abejones",21,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",181,284797.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",46,150754.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",55,130385.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",6,38715.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","15","México","001","Acambay de Ruíz Castañeda",171,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","20","Oaxaca","001","Abejones",31,62364.5,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","04","Campeche","001","Calkiní",98,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","20","Oaxaca","001","Abejones",35,2987.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",183,380724.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","20","Oaxaca","001","Abejones",19,85455.8,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","04","Campeche","001","Calkiní",612,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","04","Campeche","001","Calkiní",50,0.0,0.0,20.3712,-90.0507,55.3813,"Bajo",0.867194
"Frijol","20","Oaxaca","001","Abejones",34,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","31","Yucatán","001","Abalá",117,0.0,0.0,20.6476,-89.6809,52.0644,"Alto",0.815256
"Frijol","21","Puebla","001","Acajete",40,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","20","Oaxaca","001","Abejones",56,439437.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",161,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","18","Nayarit","001","Acaponeta",363,0.0,0.0,22.4894,-105.36,56.1657,"Bajo",0.879477
